0,1
25F(+4591),excrements
71D12 (71D125),Labdanum
71D12 (71D125),spices
71D12 (71D125),balm of Gilead and myrrh
71D12 (71D125),camels
"11K, 11K(LUCIFER)",Sulfur
"11K, 11K(LUCIFER)",Smoke
"11K, 11K(LUCIFER)",He-goat
